schema_name,table_name,index_name,is_unique,is_primary,index_definition,index_columns,partial_index_condition
public,membership_requests,idx_membership_requests_status_created_at,no,no,"CREATE INDEX idx_membership_requests_status_created_at ON public.membership_requests USING btree (status, created_at DESC)","[""CREATE INDEX idx_membership_requests_status_created_at ON membership_requests USING btree (status, created_at DESC)"",""status""]",null
public,membership_requests,membership_requests_pkey,yes,yes,CREATE UNIQUE INDEX membership_requests_pkey ON public.membership_requests USING btree (id),"[""CREATE UNIQUE INDEX membership_requests_pkey ON membership_requests USING btree (id)""]",null
public,news,idx_news_football_team_id,no,no,CREATE INDEX idx_news_football_team_id ON public.news USING btree (football_team_id),"[""CREATE INDEX idx_news_football_team_id ON news USING btree (football_team_id)""]",null
public,news,news_pkey,yes,yes,CREATE UNIQUE INDEX news_pkey ON public.news USING btree (id),"[""CREATE UNIQUE INDEX news_pkey ON news USING btree (id)""]",null
public,news,news_slug_key,yes,no,CREATE UNIQUE INDEX news_slug_key ON public.news USING btree (slug),"[""CREATE UNIQUE INDEX news_slug_key ON news USING btree (slug)""]",null
public,news_documents,news_documents_news_id_idx,no,no,CREATE INDEX news_documents_news_id_idx ON public.news_documents USING btree (news_id),"[""CREATE INDEX news_documents_news_id_idx ON news_documents USING btree (news_id)""]",null
public,news_documents,news_documents_pkey,yes,yes,CREATE UNIQUE INDEX news_documents_pkey ON public.news_documents USING btree (id),"[""CREATE UNIQUE INDEX news_documents_pkey ON news_documents USING btree (id)""]",null
public,news_documents,news_documents_public_sort_idx,no,no,"CREATE INDEX news_documents_public_sort_idx ON public.news_documents USING btree (news_id, is_public, sort_order)","[""CREATE INDEX news_documents_public_sort_idx ON news_documents USING btree (news_id, is_public, sort_order)"",""news_id"",""is_public""]",null
public,pages,idx_pages_footer_sort,no,no,"CREATE INDEX idx_pages_footer_sort ON public.pages USING btree (show_in_footer, sort_order)","[""CREATE INDEX idx_pages_footer_sort ON pages USING btree (show_in_footer, sort_order)"",""show_in_footer""]",null
public,pages,idx_pages_published_sort,no,no,"CREATE INDEX idx_pages_published_sort ON public.pages USING btree (is_published, sort_order)","[""CREATE INDEX idx_pages_published_sort ON pages USING btree (is_published, sort_order)"",""is_published""]",null
public,pages,pages_pkey,yes,yes,CREATE UNIQUE INDEX pages_pkey ON public.pages USING btree (id),"[""CREATE UNIQUE INDEX pages_pkey ON pages USING btree (id)""]",null
public,pages,pages_slug_key,yes,no,CREATE UNIQUE INDEX pages_slug_key ON public.pages USING btree (slug),"[""CREATE UNIQUE INDEX pages_slug_key ON pages USING btree (slug)""]",null
public,player_team_seasons,player_team_seasons_pkey,yes,yes,CREATE UNIQUE INDEX player_team_seasons_pkey ON public.player_team_seasons USING btree (id),"[""CREATE UNIQUE INDEX player_team_seasons_pkey ON player_team_seasons USING btree (id)""]",null
public,player_team_seasons,player_team_seasons_player_id_team_season_id_key,yes,no,"CREATE UNIQUE INDEX player_team_seasons_player_id_team_season_id_key ON public.player_team_seasons USING btree (player_id, team_season_id)","[""CREATE UNIQUE INDEX player_team_seasons_player_id_team_season_id_key ON player_team_seasons USING btree (player_id, team_season_id)"",""player_id""]",null
public,player_team_seasons,player_team_seasons_player_team_unique,yes,no,"CREATE UNIQUE INDEX player_team_seasons_player_team_unique ON public.player_team_seasons USING btree (player_id, team_season_id)","[""CREATE UNIQUE INDEX player_team_seasons_player_team_unique ON player_team_seasons USING btree (player_id, team_season_id)"",""player_id""]",null
public,players,idx_players_team,no,no,CREATE INDEX idx_players_team ON public.players USING btree (team_id),"[""CREATE INDEX idx_players_team ON players USING btree (team_id)""]",null
public,players,players_pkey,yes,yes,CREATE UNIQUE INDEX players_pkey ON public.players USING btree (id),"[""CREATE UNIQUE INDEX players_pkey ON players USING btree (id)""]",null
public,seasons,seasons_name_key,yes,no,CREATE UNIQUE INDEX seasons_name_key ON public.seasons USING btree (name),"[""CREATE UNIQUE INDEX seasons_name_key ON seasons USING btree (name)""]",null
public,seasons,seasons_pkey,yes,yes,CREATE UNIQUE INDEX seasons_pkey ON public.seasons USING btree (id),"[""CREATE UNIQUE INDEX seasons_pkey ON seasons USING btree (id)""]",null
public,seasons,seasons_slug_key,yes,no,CREATE UNIQUE INDEX seasons_slug_key ON public.seasons USING btree (slug),"[""CREATE UNIQUE INDEX seasons_slug_key ON seasons USING btree (slug)""]",null
public,sponsor_categories,idx_sponsor_categories_active_sort,no,no,"CREATE INDEX idx_sponsor_categories_active_sort ON public.sponsor_categories USING btree (is_active, sort_order)","[""CREATE INDEX idx_sponsor_categories_active_sort ON sponsor_categories USING btree (is_active, sort_order)"",""is_active""]",null
public,sponsor_categories,sponsor_categories_pkey,yes,yes,CREATE UNIQUE INDEX sponsor_categories_pkey ON public.sponsor_categories USING btree (id),"[""CREATE UNIQUE INDEX sponsor_categories_pkey ON sponsor_categories USING btree (id)""]",null
